# Result of running $M_\text{binadd}$ \\ on words from $\{ 1^a \# 1^a \# 1 0^a \}$ for some $a$ \\ for 1 trial
n,num_steps
0,0
1,1
2,2
3,3
4,4
5,5
6,24
7,25
8,26
9,47
10,48
11,49
12,78
13,79
14,80
15,117
16,118
17,119
18,164
19,165
20,166
21,219
22,220
23,221
24,282
25,283
26,284
27,353
28,354
29,355
30,432
31,433
32,434
33,519
34,520
35,521
36,614
37,615
38,616
39,717
40,718
41,719
42,828
43,829
44,830
45,947
46,948
47,949
48,1074
49,1075
50,1076
51,1209
52,1210
53,1211
54,1352
55,1353
56,1354
57,1503
58,1504
59,1505
60,1662
61,1663
62,1664
63,1829
64,1830
65,1831
66,2004
67,2005
68,2006
69,2187
70,2188
71,2189
72,2378
73,2379
74,2380
75,2577
76,2578
77,2579
78,2784
79,2785
80,2786
81,2999
82,3000
83,3001
84,3222
85,3223
86,3224
87,3453
88,3454
89,3455
90,3692
91,3693
92,3694
93,3939
94,3940
95,3941
96,4194
97,4195
98,4196
99,4457
100,4458
101,4459
102,4728
103,4729
104,4730
105,5007
106,5008
107,5009
108,5294
109,5295
110,5296
111,5589
112,5590
113,5591
114,5892
115,5893
116,5894
117,6203
118,6204
119,6205
120,6522
121,6523
122,6524
123,6849
124,6850
125,6851
126,7184
127,7185
128,7186
129,7527
130,7528
131,7529
132,7878
133,7879
134,7880
135,8237
136,8238
137,8239
138,8604
139,8605
140,8606
141,8979
142,8980
143,8981
144,9362
145,9363
146,9364
147,9753
148,9754
149,9755
150,10152
151,10153
152,10154
153,10559
154,10560
155,10561
156,10974
157,10975
158,10976
159,11397
160,11398
161,11399
162,11828
163,11829
164,11830
165,12267
166,12268
167,12269
168,12714
169,12715
170,12716
171,13169
172,13170
173,13171
174,13632
175,13633
176,13634
177,14103
178,14104
179,14105
180,14582
181,14583
182,14584
183,15069
184,15070
185,15071
186,15564
187,15565
188,15566
189,16067
190,16068
191,16069
192,16578
193,16579
194,16580
195,17097
196,17098
197,17099
198,17624
199,17625
200,17626
201,18159
202,18160
203,18161
204,18702
205,18703
206,18704
207,19253
208,19254
209,19255
210,19812
211,19813
212,19814
213,20379
214,20380
215,20381
216,20954
217,20955
218,20956
219,21537
220,21538
221,21539
222,22128
223,22129
224,22130
225,22727
226,22728
227,22729
228,23334
229,23335
230,23336
231,23949
232,23950
233,23951
234,24572
235,24573
236,24574
237,25203
238,25204
239,25205
240,25842
241,25843
242,25844
243,26489
244,26490
245,26491
246,27144
247,27145
248,27146
249,27807
250,27808
251,27809
252,28478
253,28479
254,28480
255,29157
256,29158
257,29159
258,29844
259,29845
260,29846
261,30539
262,30540
263,30541
264,31242
265,31243
266,31244
267,31953
268,31954
269,31955
270,32672
271,32673
272,32674
273,33399
274,33400
275,33401
276,34134
277,34135
278,34136
279,34877
280,34878
281,34879
282,35628
283,35629
284,35630
285,36387
286,36388
287,36389
288,37154
289,37155
290,37156
291,37929
292,37930
293,37931
294,38712
295,38713
296,38714
297,39503
298,39504
299,39505
300,40302
301,40303
302,40304
303,41109
304,41110
305,41111
306,41924
307,41925
308,41926
309,42747
310,42748
311,42749
312,43578
313,43579
314,43580
315,44417
316,44418
317,44419
318,45264
319,45265
320,45266
321,46119
322,46120
323,46121
324,46982
325,46983
326,46984
327,47853
328,47854
329,47855
330,48732
331,48733
332,48734
333,49619
334,49620
335,49621
336,50514
337,50515
338,50516
339,51417
340,51418
341,51419
342,52328
343,52329
344,52330
345,53247
346,53248
347,53249
348,54174
349,54175
350,54176
351,55109
352,55110
353,55111
354,56052
355,56053
356,56054
357,57003
358,57004
359,57005
360,57962
361,57963
362,57964
363,58929
364,58930
365,58931
366,59904
367,59905
368,59906
369,60887
370,60888
371,60889
372,61878
373,61879
374,61880
375,62877
376,62878
377,62879
378,63884
379,63885
380,63886
381,64899
382,64900
383,64901
384,65922
385,65923
386,65924
387,66953
388,66954
389,66955
390,67992
391,67993
392,67994
393,69039
394,69040
395,69041
396,70094
397,70095
398,70096
399,71157
400,71158
401,71159
402,72228
403,72229
404,72230
405,73307
406,73308
407,73309
408,74394
409,74395
410,74396
411,75489
412,75490
413,75491
414,76592
415,76593
416,76594
417,77703
418,77704
419,77705
420,78822
421,78823
422,78824
423,79949
424,79950
425,79951
426,81084
427,81085
428,81086
429,82227
430,82228
431,82229
432,83378
433,83379
434,83380
435,84537
436,84538
437,84539
438,85704
439,85705
440,85706
441,86879
442,86880
443,86881
444,88062
445,88063
446,88064
447,89253
448,89254
449,89255
450,90452
451,90453
452,90454
453,91659
454,91660
455,91661
456,92874
457,92875
458,92876
459,94097
460,94098
461,94099
462,95328
463,95329
464,95330
465,96567
466,96568
467,96569
468,97814
469,97815
470,97816
471,99069
472,99070
473,99071
474,100332
475,100333
476,100334
477,101603
478,101604
479,101605
480,102882
481,102883
482,102884
483,104169
484,104170
485,104171
486,105464
487,105465
488,105466
489,106767
490,106768
491,106769
492,108078
493,108079
494,108080
495,109397
496,109398
497,109399
498,110724
499,110725
