# Result of running $M_\text{binadd}$ \\ on random words from $L(\{0+1\}^* \# \{0+1\}^* \# \{0+1\}^*)$ of length $n$ that are accepted \\ for 10 trials
n,num_steps
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,24
7,15
7,15
7,25
7,15
7,15
7,25
7,15
7,15
7,25
7,15
8,16
8,16
8,16
8,16
8,26
8,16
8,16
8,16
8,16
8,16
9,47
9,47
9,33
9,47
9,33
9,33
9,33
9,47
9,47
9,33
10,48
10,48
10,34
10,34
10,34
10,34
10,48
10,34
10,34
10,34
11,49
11,35
11,35
11,49
11,49
11,35
11,35
11,49
11,35
11,35
12,78
12,78
12,60
12,60
12,78
12,60
12,60
12,78
12,60
12,60
13,79
13,61
13,61
13,61
13,61
13,61
13,61
13,61
13,79
13,79
14,80
14,80
14,80
14,80
14,62
14,62
14,62
14,80
14,80
14,62
15,95
15,95
15,95
15,95
15,117
15,117
15,95
15,95
15,117
15,95
16,118
16,96
16,96
16,96
16,96
16,118
16,96
16,96
16,96
16,96
17,119
17,119
17,119
17,97
17,97
17,97
17,97
17,97
17,119
17,97
18,164
18,138
18,164
18,164
18,164
18,138
18,138
18,138
18,164
18,138
19,165
19,165
19,139
19,139
19,165
19,165
19,165
19,139
19,139
19,165
20,166
20,166
20,140
20,166
20,140
20,166
20,166
20,140
20,166
20,140
21,189
21,219
21,219
21,219
21,219
21,189
21,219
21,189
21,189
21,189
22,220
22,190
22,190
22,190
22,220
22,220
22,190
22,220
22,220
22,190
23,221
23,221
23,191
23,191
23,191
23,221
23,191
23,221
23,221
23,221
24,248
24,248
24,282
24,282
24,282
24,248
24,282
24,248
24,282
24,282
25,249
25,249
25,283
25,249
25,249
25,249
25,283
25,283
25,249
25,283
26,284
26,250
26,250
26,250
26,284
26,284
26,284
26,250
26,250
26,250
27,315
27,353
27,315
27,353
27,315
27,353
27,353
27,315
27,315
27,315
28,316
28,316
28,354
28,354
28,316
28,354
28,316
28,354
28,354
28,316
29,355
29,317
29,317
29,355
29,355
29,355
29,355
29,355
29,355
29,355
30,390
30,390
30,432
30,432
30,390
30,390
30,432
30,390
30,432
30,390
31,391
31,433
31,433
31,391
31,433
31,391
31,391
