# Result of running $M_\text{binadd}$ \\ on words from $L(\# 0^* \#)$ of length $n$ \\ for 1 trial
n,num_steps
0,0
1,1
2,2
3,11
4,24
5,41
6,62
7,87
8,116
9,149
10,186
11,227
12,272
13,321
14,374
15,431
16,492
17,557
18,626
19,699
20,776
21,857
22,942
23,1031
24,1124
25,1221
26,1322
27,1427
28,1536
29,1649
30,1766
31,1887
32,2012
33,2141
34,2274
35,2411
36,2552
37,2697
38,2846
39,2999
40,3156
41,3317
42,3482
43,3651
44,3824
45,4001
46,4182
47,4367
48,4556
49,4749
50,4946
51,5147
52,5352
53,5561
54,5774
55,5991
56,6212
57,6437
58,6666
59,6899
60,7136
61,7377
62,7622
63,7871
64,8124
65,8381
66,8642
67,8907
68,9176
69,9449
70,9726
71,10007
72,10292
73,10581
74,10874
75,11171
76,11472
77,11777
78,12086
79,12399
80,12716
81,13037
82,13362
83,13691
84,14024
85,14361
86,14702
87,15047
88,15396
89,15749
90,16106
91,16467
92,16832
93,17201
94,17574
95,17951
96,18332
97,18717
98,19106
99,19499
100,19896
101,20297
102,20702
103,21111
104,21524
105,21941
106,22362
107,22787
108,23216
109,23649
110,24086
111,24527
112,24972
113,25421
114,25874
115,26331
116,26792
117,27257
118,27726
119,28199
120,28676
121,29157
122,29642
123,30131
124,30624
125,31121
126,31622
127,32127
128,32636
129,33149
130,33666
131,34187
132,34712
133,35241
134,35774
135,36311
136,36852
137,37397
138,37946
139,38499
140,39056
141,39617
142,40182
143,40751
144,41324
145,41901
146,42482
147,43067
148,43656
149,44249
150,44846
151,45447
152,46052
153,46661
154,47274
155,47891
156,48512
157,49137
158,49766
159,50399
160,51036
161,51677
162,52322
163,52971
164,53624
165,54281
166,54942
167,55607
168,56276
169,56949
170,57626
171,58307
172,58992
173,59681
174,60374
175,61071
176,61772
177,62477
178,63186
179,63899
180,64616
181,65337
182,66062
183,66791
184,67524
185,68261
186,69002
187,69747
188,70496
189,71249
190,72006
191,72767
192,73532
193,74301
194,75074
195,75851
196,76632
197,77417
198,78206
199,78999
200,79796
201,80597
202,81402
203,82211
204,83024
205,83841
206,84662
207,85487
208,86316
209,87149
210,87986
211,88827
212,89672
213,90521
214,91374
215,92231
216,93092
217,93957
218,94826
219,95699
220,96576
221,97457
222,98342
223,99231
224,100124
225,101021
226,101922
227,102827
228,103736
229,104649
230,105566
231,106487
232,107412
233,108341
234,109274
235,110211
236,111152
237,112097
238,113046
239,113999
240,114956
241,115917
242,116882
243,117851
244,118824
245,119801
246,120782
247,121767
248,122756
249,123749
250,124746
251,125747
252,126752
253,127761
254,128774
255,129791
256,130812
257,131837
258,132866
259,133899
260,134936
261,135977
262,137022
263,138071
264,139124
265,140181
266,141242
267,142307
268,143376
269,144449
270,145526
271,146607
272,147692
273,148781
274,149874
275,150971
276,152072
277,153177
278,154286
279,155399
280,156516
281,157637
282,158762
283,159891
284,161024
285,162161
286,163302
287,164447
288,165596
289,166749
290,167906
291,169067
292,170232
293,171401
294,172574
295,173751
296,174932
297,176117
298,177306
299,178499
300,179696
301,180897
302,182102
303,183311
304,184524
305,185741
306,186962
307,188187
308,189416
309,190649
310,191886
311,193127
312,194372
313,195621
314,196874
315,198131
316,199392
317,200657
318,201926
319,203199
320,204476
321,205757
322,207042
323,208331
324,209624
325,210921
326,212222
327,213527
328,214836
329,216149
330,217466
331,218787
332,220112
333,221441
334,222774
335,224111
336,225452
337,226797
338,228146
339,229499
340,230856
341,232217
342,233582
343,234951
344,236324
345,237701
346,239082
347,240467
348,241856
349,243249
350,244646
351,246047
352,247452
353,248861
354,250274
355,251691
356,253112
357,254537
358,255966
359,257399
360,258836
361,260277
362,261722
363,263171
364,264624
365,266081
366,267542
367,269007
368,270476
369,271949
370,273426
371,274907
372,276392
373,277881
374,279374
375,280871
376,282372
377,283877
378,285386
379,286899
380,288416
381,289937
382,291462
383,292991
384,294524
385,296061
386,297602
387,299147
388,300696
389,302249
390,303806
391,305367
392,306932
393,308501
394,310074
395,311651
396,313232
397,314817
398,316406
399,317999
400,319596
401,321197
402,322802
403,324411
404,326024
405,327641
406,329262
407,330887
408,332516
409,334149
410,335786
411,337427
412,339072
413,340721
414,342374
415,344031
416,345692
417,347357
418,349026
419,350699
420,352376
421,354057
422,355742
423,357431
424,359124
425,360821
426,362522
427,364227
428,365936
429,367649
430,369366
431,371087
432,372812
433,374541
434,376274
435,378011
436,379752
437,381497
438,383246
439,384999
440,386756
441,388517
442,390282
443,392051
444,393824
445,395601
446,397382
447,399167
448,400956
449,402749
450,404546
451,406347
452,408152
453,409961
454,411774
455,413591
456,415412
457,417237
458,419066
459,420899
460,422736
461,424577
462,426422
463,428271
464,430124
465,431981
466,433842
467,435707
468,437576
469,439449
470,441326
471,443207
472,445092
473,446981
474,448874
475,450771
476,452672
477,454577
478,456486
479,458399
480,460316
481,462237
482,464162
483,466091
484,468024
485,469961
486,471902
487,473847
488,475796
489,477749
490,479706
491,481667
492,483632
493,485601
494,487574
495,489551
496,491532
497,493517
498,495506
499,497499
