# Result of running $M_\text{binadd}$ \\ on random words from $L((0+1+\#)^*)$ of length $n$ \\ for 10 trials
n,num_steps
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,2
4,2
4,4
4,3
4,2
4,4
4,4
4,4
5,5
5,5
5,13
5,5
5,5
5,41
5,5
5,15
5,5
5,5
6,6
6,6
6,6
6,3
6,6
6,4
6,6
6,5
6,6
6,16
7,7
7,2
7,7
7,3
7,7
7,39
7,4
7,6
7,4
7,7
8,4
8,8
8,16
8,4
8,8
8,8
8,8
8,16
8,8
8,28
9,13
9,9
9,13
9,6
9,8
9,6
9,4
9,4
9,4
9,4
10,4
10,10
10,8
10,3
10,4
10,4
10,10
10,9
10,4
10,10
11,6
11,6
11,4
11,4
11,4
11,33
11,2
11,5
11,4
11,3
12,4
12,5
12,132
12,5
12,4
12,12
12,6
12,13
12,12
12,72
13,13
13,19
13,3
13,16
13,3
13,9
13,3
13,15
13,7
13,5
14,7
14,4
14,37
14,3
14,6
14,2
14,10
14,2
14,57
14,2
15,3
15,4
15,13
15,10
15,6
15,25
15,12
15,5
15,7
15,6
16,15
16,13
16,2
16,3
16,4
16,25
16,2
16,4
16,16
16,2
17,2
17,11
17,15
17,4
17,21
17,2
17,6
17,9
17,3
17,10
18,14
18,15
18,18
18,5
18,13
18,19
18,5
18,5
18,14
18,9
19,4
19,6
19,5
19,2
19,49
19,4
19,10
19,10
19,8
19,5
20,4
20,3
20,5
20,9
20,5
20,6
20,22
20,11
20,4
20,7
21,3
21,8
21,57
21,4
21,5
21,7
21,3
21,3
21,2
21,16
22,4
22,7
22,6
22,8
22,25
22,3
22,4
22,9
22,4
22,3
23,2
23,7
23,4
23,3
23,5
23,2
23,4
23,28
23,16
23,15
24,6
24,47
24,6
24,3
24,6
24,13
24,16
24,4
24,4
24,3
25,12
25,11
25,6
25,11
25,16
25,28
25,16
25,11
25,2
25,22
26,11
26,9
26,12
26,28
26,3
26,10
26,3
26,5
26,9
26,8
27,5
27,17
27,4
27,5
27,3
27,3
27,3
27,5
27,12
27,10
28,7
28,9
28,18
28,13
28,6
28,13
28,17
28,9
28,6
28,11
29,10
29,37
29,28
29,2
29,4
29,33
29,6
29,21
29,4
29,4
30,12
30,38
30,2
30,9
30,5
30,13
30,5
30,3
30,33
30,5
31,28
31,11
31,3
31,7
31,18
31,4
31,4
31,3
31,5
31,67
32,37
32,2
32,10
32,7
