# Result of running $M_\text{binadd}$ \\ on random words from $L(\{0+1\}^* \# \{0+1\}^* \# \{0+1\}^*)$ of length $n$ \\ for 10 trials
n,num_steps
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,9
3,2
3,9
3,3
3,3
3,9
3,11
3,3
3,9
4,3
4,2
4,3
4,4
4,12
4,4
4,4
4,12
4,12
4,14
5,4
5,10
5,17
5,3
5,5
5,2
5,13
5,5
5,11
5,4
6,13
6,5
6,10
6,34
6,3
6,6
6,14
6,5
6,15
6,5
7,23
7,3
7,49
7,6
7,6
7,7
7,5
7,7
7,19
7,19
8,22
8,19
8,18
8,5
8,8
8,7
8,16
8,8
8,22
8,8
9,51
9,25
9,29
9,14
9,9
9,3
9,9
9,15
9,4
9,87
10,32
10,7
10,10
10,3
10,46
10,9
10,54
10,24
10,54
10,2
11,7
11,47
11,7
11,25
11,9
11,4
11,28
11,16
11,31
11,11
12,34
12,90
12,36
12,10
12,12
12,19
12,7
12,34
12,11
12,11
13,22
13,31
13,22
13,7
13,25
13,12
13,25
13,66
13,6
13,13
14,94
14,8
14,40
14,3
14,9
14,79
14,7
14,42
14,40
14,14
15,13
15,43
15,14
15,4
15,123
15,43
15,67
15,49
15,66
15,31
16,13
16,62
16,50
16,28
16,78
16,13
16,80
16,11
16,46
16,8
17,39
17,113
17,17
17,8
17,13
17,17
17,15
17,31
17,16
17,49
18,10
18,13
18,55
18,14
18,77
18,33
18,94
18,62
18,15
18,15
19,52
19,19
19,25
19,67
19,114
19,57
19,36
19,13
19,7
19,125
20,47
20,40
20,18
20,206
20,20
20,37
20,5
20,15
20,49
20,96
21,31
21,21
21,63
21,129
21,14
21,11
21,18
21,16
21,46
21,40
22,55
22,20
22,30
22,17
22,19
22,12
22,146
22,180
22,110
22,15
23,58
23,82
23,19
23,64
23,19
23,69
23,124
23,21
23,71
23,22
24,14
24,157
24,13
24,8
24,212
24,43
24,43
24,21
24,112
24,58
25,46
25,23
25,21
25,143
25,31
25,4
25,46
25,19
25,55
25,15
26,7
26,24
26,26
26,11
26,23
26,18
26,16
26,10
26,11
26,6
27,52
27,112
27,70
27,25
27,14
27,14
27,23
27,110
27,23
27,73
28,3
28,20
28,64
28,25
28,22
28,47
28,18
28,20
28,20
28,37
29,21
29,107
29,21
29,27
29,141
29,184
29,16
29,49
29,7
29,12
30,19
30,73
30,12
30,25
30,22
30,22
30,92
30,164
30,6
30,30
31,73
31,178
31,43
31,179
31,30
31,46
31,29
31,6
