# Result of running $M_\text{binaryunary}$ \\ on random words from $L(\{0+1\}^*)$ of length $n$ \\ for 15 trials
n,num_steps
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,18
1,8
1,8
1,8
1,18
1,18
1,8
1,8
1,18
1,18
1,18
1,18
1,18
1,8
1,18
2,28
2,45
2,14
2,28
2,64
2,45
2,45
2,45
2,45
2,64
2,45
2,64
2,28
2,28
2,64
3,82
3,82
3,20
3,82
3,194
3,163
3,59
3,59
3,194
3,134
3,82
3,59
3,20
3,194
3,134
4,48
4,26
4,129
4,129
4,388
4,304
4,129
4,480
4,345
4,26
4,193
4,228
4,529
4,388
4,73
5,1087
5,886
5,1711
5,32
5,87
5,151
5,1306
5,1306
5,823
5,1306
5,1306
5,1087
5,262
5,438
5,951
6,3293
6,1412
6,68
6,1037
6,4301
6,5588
6,3061
6,2948
6,2312
6,437
6,968
6,1837
6,1333
6,541
6,296
7,6979
7,10363
7,379
7,910
7,14395
7,19075
7,2254
7,7498
7,483
7,8590
7,16395
7,8035
7,4110
7,18523
7,18523
8,9489
8,1369
8,6412
8,649
8,9688
8,65224
8,88
8,57288
8,18732
8,69913
8,588
8,24969
8,51217
8,14329
8,7788
9,161218
9,211214
9,121415
9,158815
9,28855
9,162023
9,213983
9,161218
9,55310
9,575
9,128495
9,153278
9,1463
9,18110
9,124223
