# Result of running $M_\text{binaryunary}$ \\ on words in the form $0^n$ \\ for 1 trial
n,num_steps
0,0
1,8
2,14
3,20
4,26
5,32
6,38
7,44
8,50
9,56
10,62
11,68
12,74
13,80
14,86
15,92
16,98
17,104
18,110
19,116
20,122
21,128
22,134
23,140
24,146
25,152
26,158
27,164
28,170
29,176
30,182
31,188
32,194
33,200
34,206
35,212
36,218
37,224
38,230
39,236
40,242
41,248
42,254
43,260
44,266
45,272
46,278
47,284
48,290
49,296
50,302
51,308
52,314
53,320
54,326
55,332
56,338
57,344
58,350
59,356
60,362
61,368
62,374
63,380
64,386
65,392
66,398
67,404
68,410
69,416
70,422
71,428
72,434
73,440
74,446
75,452
76,458
77,464
78,470
79,476
80,482
81,488
82,494
83,500
84,506
85,512
86,518
87,524
88,530
89,536
90,542
91,548
92,554
93,560
94,566
95,572
96,578
97,584
98,590
99,596
100,602
101,608
102,614
103,620
104,626
105,632
106,638
107,644
108,650
109,656
110,662
111,668
112,674
113,680
114,686
115,692
116,698
117,704
118,710
119,716
120,722
121,728
122,734
123,740
124,746
125,752
126,758
127,764
128,770
129,776
130,782
131,788
132,794
133,800
134,806
135,812
136,818
137,824
138,830
139,836
140,842
141,848
142,854
143,860
144,866
145,872
146,878
147,884
148,890
149,896
150,902
151,908
152,914
153,920
154,926
155,932
156,938
157,944
158,950
159,956
160,962
161,968
162,974
163,980
164,986
165,992
166,998
167,1004
168,1010
169,1016
170,1022
171,1028
172,1034
173,1040
174,1046
175,1052
176,1058
177,1064
178,1070
179,1076
180,1082
181,1088
182,1094
183,1100
184,1106
185,1112
186,1118
187,1124
188,1130
189,1136
190,1142
191,1148
192,1154
193,1160
194,1166
195,1172
196,1178
197,1184
198,1190
199,1196
200,1202
201,1208
202,1214
203,1220
204,1226
205,1232
206,1238
207,1244
208,1250
209,1256
210,1262
211,1268
212,1274
213,1280
214,1286
215,1292
216,1298
217,1304
218,1310
219,1316
220,1322
221,1328
222,1334
223,1340
224,1346
225,1352
226,1358
227,1364
228,1370
229,1376
230,1382
231,1388
232,1394
233,1400
234,1406
235,1412
236,1418
237,1424
238,1430
239,1436
240,1442
241,1448
242,1454
243,1460
244,1466
245,1472
246,1478
247,1484
248,1490
249,1496
250,1502
251,1508
252,1514
253,1520
254,1526
255,1532
256,1538
257,1544
258,1550
259,1556
260,1562
261,1568
262,1574
263,1580
264,1586
265,1592
266,1598
267,1604
268,1610
269,1616
270,1622
271,1628
272,1634
273,1640
274,1646
275,1652
276,1658
277,1664
278,1670
279,1676
280,1682
281,1688
282,1694
283,1700
284,1706
285,1712
286,1718
287,1724
288,1730
289,1736
290,1742
291,1748
292,1754
293,1760
294,1766
295,1772
296,1778
297,1784
298,1790
299,1796
300,1802
301,1808
302,1814
303,1820
304,1826
305,1832
306,1838
307,1844
308,1850
309,1856
310,1862
311,1868
312,1874
313,1880
314,1886
315,1892
316,1898
317,1904
318,1910
319,1916
320,1922
321,1928
322,1934
323,1940
324,1946
325,1952
326,1958
327,1964
328,1970
329,1976
330,1982
331,1988
332,1994
333,2000
334,2006
335,2012
336,2018
337,2024
338,2030
339,2036
340,2042
341,2048
342,2054
343,2060
344,2066
345,2072
346,2078
347,2084
348,2090
349,2096
350,2102
351,2108
352,2114
353,2120
354,2126
355,2132
356,2138
357,2144
358,2150
359,2156
360,2162
361,2168
362,2174
363,2180
364,2186
365,2192
366,2198
367,2204
368,2210
369,2216
370,2222
371,2228
372,2234
373,2240
374,2246
375,2252
376,2258
377,2264
378,2270
379,2276
380,2282
381,2288
382,2294
383,2300
384,2306
385,2312
386,2318
387,2324
388,2330
389,2336
390,2342
391,2348
392,2354
393,2360
394,2366
395,2372
396,2378
397,2384
398,2390
399,2396
400,2402
401,2408
402,2414
403,2420
404,2426
405,2432
406,2438
407,2444
408,2450
409,2456
410,2462
411,2468
412,2474
413,2480
414,2486
415,2492
416,2498
417,2504
418,2510
419,2516
420,2522
421,2528
422,2534
423,2540
424,2546
425,2552
426,2558
427,2564
428,2570
429,2576
430,2582
431,2588
432,2594
433,2600
434,2606
435,2612
436,2618
437,2624
438,2630
439,2636
440,2642
441,2648
442,2654
443,2660
444,2666
445,2672
446,2678
447,2684
448,2690
449,2696
450,2702
451,2708
452,2714
453,2720
454,2726
455,2732
456,2738
457,2744
458,2750
459,2756
460,2762
461,2768
462,2774
463,2780
464,2786
465,2792
466,2798
467,2804
468,2810
469,2816
470,2822
471,2828
472,2834
473,2840
474,2846
475,2852
476,2858
477,2864
478,2870
479,2876
480,2882
481,2888
482,2894
483,2900
484,2906
485,2912
486,2918
487,2924
488,2930
489,2936
490,2942
491,2948
492,2954
493,2960
494,2966
495,2972
496,2978
497,2984
498,2990
499,2996
