# Result of running $M_\text{paren}$ \\ on random words of length $n$ that are accepted \\ for 10 trials
n,num_steps
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
4,12
4,12
4,16
4,12
4,16
4,12
4,12
4,16
4,12
4,12
4,16
4,12
4,16
4,12
4,16
4,12
4,16
4,12
4,16
4,16
6,22
6,18
6,26
6,30
6,26
6,18
6,18
6,18
6,22
6,22
6,30
6,26
6,18
6,30
6,22
6,22
6,22
6,22
6,22
6,22
8,36
8,32
8,48
8,48
8,28
8,36
8,28
8,36
8,24
8,28
8,36
8,24
8,28
8,44
8,32
8,28
8,28
8,28
8,40
8,40
10,50
10,62
10,34
10,38
10,66
10,42
10,34
10,70
10,54
10,38
10,50
10,30
10,34
10,70
10,58
10,38
10,42
10,42
10,66
10,58
12,52
12,44
12,92
12,44
12,56
12,56
12,48
12,64
12,88
12,68
12,52
12,56
12,96
12,40
12,64
12,56
12,60
12,52
12,36
12,52
14,82
14,58
14,50
14,66
14,46
14,118
14,54
14,46
14,54
14,54
14,70
14,102
14,122
14,126
14,78
14,54
14,78
14,50
14,94
14,90
16,56
16,96
16,96
16,72
16,76
16,96
16,64
16,56
16,116
16,128
16,56
16,76
16,76
16,88
16,72
16,72
16,108
16,52
16,72
16,60
18,106
18,142
18,102
18,86
18,74
18,138
18,86
18,106
18,70
18,142
18,106
18,106
18,110
18,130
18,158
18,158
18,118
18,82
18,170
18,94
20,112
20,76
20,72
20,176
20,140
20,176
20,136
20,88
20,120
20,80
20,104
20,124
20,168
20,124
20,92
20,136
20,120
20,120
20,92
20,152
22,118
22,158
22,142
22,170
22,166
22,106
22,86
22,74
22,78
22,102
22,166
22,182
22,218
22,98
22,210
22,94
22,110
22,206
22,90
22,150
24,196
24,172
24,116
24,192
24,124
24,152
24,128
24,144
24,164
24,208
24,152
24,132
24,196
24,144
24,132
24,136
24,188
24,184
24,192
24,136
26,110
26,134
26,198
26,210
26,322
26,94
26,162
26,154
26,154
26,154
26,234
26,150
26,150
26,202
26,146
26,218
26,234
26,274
26,114
26,162
28,192
28,120
28,148
28,324
28,156
28,260
28,156
28,200
28,116
28,144
28,176
28,148
28,244
28,316
28,260
28,232
28,224
28,140
28,208
28,172
30,262
30,158
30,322
30,186
30,130
30,134
30,158
30,162
30,262
30,194
30,158
30,302
30,190
30,258
30,310
30,198
30,214
30,186
30,114
30,314
32,228
32,212
32,216
32,316
32,184
32,136
32,196
32,344
32,192
32,236
32,324
32,232
32,268
32,280
32,244
32,296
32,280
32,188
32,308
32,368
34,202
34,202
34,374
34,230
34,178
34,534
34,238
34,238
34,194
34,234
34,250
34,166
34,218
34,242
34,362
34,286
34,238
34,454
34,166
34,162
36,272
36,160
36,412
36,324
36,220
36,196
36,256
36,240
36,304
36,160
36,248
36,248
36,288
36,128
36,560
36,128
36,288
36,280
36,440
36,212
38,362
38,390
38,210
38,266
38,370
38,298
38,246
38,322
38,170
38,182
38,198
38,266
38,210
38,422
38,222
38,282
38,402
38,186
38,306
38,226
40,168
40,224
40,440
40,488
40,180
40,428
40,228
40,364
40,548
40,284
40,488
40,200
40,320
40,244
40,260
40,176
40,292
40,328
40,444
40,304
42,666
42,454
42,210
42,218
42,282
42,258
42,250
42,218
42,346
42,210
42,306
42,326
42,226
42,338
42,390
42,366
42,362
42,294
42,238
42,470
44,540
44,260
44,324
44,240
44,360
44,296
44,392
44,212
44,628
44,472
44,336
44,156
44,236
44,348
44,284
44,324
44,484
44,308
44,452
44,620
46,230
46,206
46,722
46,318
46,302
46,810
46,206
46,310
46,394
46,426
46,290
46,330
46,478
46,246
46,222
46,214
46,490
46,846
46,354
46,378
48,420
48,300
48,656
48,324
48,524
48,504
48,376
48,212
48,196
48,244
48,216
48,516
48,544
48,516
48,624
48,520
48,244
48,376
48,316
48,308
50,266
50,370
50,414
50,302
50,342
50,638
50,210
50,706
50,370
50,410
50,606
50,646
50,258
50,470
50,658
50,582
50,294
50,310
50,478
50,726
52,852
52,284
52,400
52,480
52,572
52,612
52,208
52,484
52,280
52,464
52,452
52,796
52,356
52,528
52,756
52,928
52,528
52,316
52,440
52,304
54,198
54,230
54,738
54,498
54,590
54,246
54,314
54,706
54,346
54,514
54,350
54,310
54,278
54,558
54,598
54,354
54,726
54,650
54,426
54,666
56,680
56,536
56,692
56,264
56,316
56,592
56,372
56,504
56,852
56,584
56,684
56,540
56,828
56,396
56,352
56,440
56,364
56,496
56,492
56,572
58,618
58,510
58,630
58,330
58,466
58,358
58,458
58,782
58,378
58,322
58,402
58,846
58,494
58,474
58,338
58,494
58,718
58,402
58,330
58,506
60,516
60,592
60,836
60,808
60,900
60,508
60,400
60,756
60,388
60,496
60,428
60,336
60,316
60,444
60,1056
60,892
60,692
60,432
60,696
60,868
62,586
62,334
62,378
62,374
62,282
62,454
62,786
62,470
62,394
62,546
62,510
62,466
62,418
62,490
62,418
62,378
62,722
62,390
62,270
62,1018
64,992
64,360
64,740
64,1060
64,380
64,800
64,312
64,512
64,316
64,456
64,468
64,348
64,336
64,828
64,848
64,828
64,800
64,468
64,824
64,1168
66,1098
66,442
66,374
66,766
66,370
66,670
66,650
66,1026
66,946
66,434
66,654
66,454
66,550
66,738
66,402
66,530
66,490
66,474
66,534
66,586
68,1108
68,424
68,452
68,552
68,432
68,564
68,420
68,1000
68,844
68,376
68,376
68,580
68,752
68,332
68,684
68,1536
68,992
68,380
68,1076
68,348
70,378
70,362
70,682
70,518
70,662
70,646
70,982
70,450
70,458
70,562
70,418
70,370
70,814
70,926
70,526
70,658
70,450
70,330
70,1466
70,1206
72,860
72,700
72,388
72,404
72,588
72,484
72,860
72,580
72,636
72,1060
72,620
72,584
72,532
72,432
72,1020
72,548
72,456
72,452
72,1028
72,368
74,458
