# Result of running $M_\text{paren}$ \\ on random words from $L((``("+``)")^*)$ of length $n$ \\ for 10 trials
n,num_steps
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,2
1,0
1,2
1,2
1,0
1,2
1,0
1,0
2,3
2,0
2,0
2,0
2,0
2,0
2,3
2,0
2,0
2,0
3,0
3,6
3,6
3,8
3,0
3,6
3,0
3,4
3,6
3,6
4,7
4,0
4,7
4,0
4,7
4,0
4,16
4,0
4,0
4,6
5,0
5,0
5,14
5,0
5,6
5,0
5,12
5,6
5,12
5,0
6,0
6,15
6,11
6,0
6,15
6,0
6,0
6,0
6,22
6,11
7,0
7,0
7,0
7,6
7,6
7,0
7,0
7,12
7,0
7,0
8,11
8,0
8,6
8,6
8,0
8,15
8,27
8,0
8,6
8,0
9,24
9,6
9,0
9,0
9,14
9,0
9,0
9,16
9,6
9,22
10,0
10,0
10,27
10,17
10,0
10,15
10,17
10,26
10,0
10,0
11,0
11,0
11,16
11,36
11,0
11,6
11,0
11,0
11,0
11,0
12,21
12,0
12,0
12,0
12,27
12,12
12,0
12,0
12,0
12,6
13,18
13,54
13,6
13,44
13,12
13,70
13,0
13,6
13,0
13,0
14,6
14,0
14,0
14,6
14,0
14,0
14,6
14,0
14,16
14,0
15,50
15,0
15,16
15,60
15,0
15,0
15,0
15,48
15,68
15,0
16,24
16,23
16,6
16,0
16,0
16,76
16,36
16,0
16,0
16,29
17,12
17,0
17,6
17,0
17,0
17,0
17,0
17,36
17,38
17,0
18,0
18,6
18,29
18,12
18,73
18,6
18,62
18,43
18,0
18,6
19,0
19,0
19,0
19,44
19,0
19,156
19,16
19,0
19,6
19,16
20,75
20,0
20,87
20,0
20,0
20,6
20,16
20,57
20,0
20,0
21,12
21,112
21,0
21,6
21,90
21,0
21,0
21,116
21,16
21,0
22,89
22,0
22,75
22,0
22,0
22,0
22,32
22,6
22,0
22,6
23,0
23,0
23,68
23,0
23,0
23,0
23,0
23,64
23,56
23,0
24,6
24,0
24,0
24,6
24,6
24,235
24,0
24,105
24,0
24,0
25,6
25,0
25,26
25,0
25,64
25,74
25,0
25,0
25,134
25,108
26,0
26,0
26,6
26,12
26,0
26,45
26,32
26,6
26,65
26,0
27,12
27,0
27,0
27,6
27,0
27,6
27,6
27,0
27,0
27,0
28,30
28,28
28,6
28,163
28,206
28,6
28,0
28,59
28,0
28,0
29,0
29,16
29,24
29,146
29,166
29,78
29,6
29,6
29,0
29,0
30,135
30,0
30,16
30,16
30,71
30,0
30,144
30,0
30,6
30,91
31,6
31,0
31,0
31,170
31,16
31,0
31,0
31,6
31,98
31,0
32,0
32,268
32,0
32,0
