# Result of running $M_\text{paren}$ \\ on the words $``("^{\lceil n/2 \rceil} ``)"^{\lfloor n/2 \rfloor}$ for all $n$ \\ for 1 trial
n,num_steps
0,0
1,2
2,6
3,8
4,16
5,18
6,30
7,32
8,48
9,50
10,70
11,72
12,96
13,98
14,126
15,128
16,160
17,162
18,198
19,200
20,240
21,242
22,286
23,288
24,336
25,338
26,390
27,392
28,448
29,450
30,510
31,512
32,576
33,578
34,646
35,648
36,720
37,722
38,798
39,800
40,880
41,882
42,966
43,968
44,1056
45,1058
46,1150
47,1152
48,1248
49,1250
50,1350
51,1352
52,1456
53,1458
54,1566
55,1568
56,1680
57,1682
58,1798
59,1800
60,1920
61,1922
62,2046
63,2048
64,2176
65,2178
66,2310
67,2312
68,2448
69,2450
70,2590
71,2592
72,2736
73,2738
74,2886
75,2888
76,3040
77,3042
78,3198
79,3200
80,3360
81,3362
82,3526
83,3528
84,3696
85,3698
86,3870
87,3872
88,4048
89,4050
90,4230
91,4232
92,4416
93,4418
94,4606
95,4608
96,4800
97,4802
98,4998
99,5000
100,5200
101,5202
102,5406
103,5408
104,5616
105,5618
106,5830
107,5832
108,6048
109,6050
110,6270
111,6272
112,6496
113,6498
114,6726
115,6728
116,6960
117,6962
118,7198
119,7200
120,7440
121,7442
122,7686
123,7688
124,7936
125,7938
126,8190
127,8192
128,8448
129,8450
130,8710
131,8712
132,8976
133,8978
134,9246
135,9248
136,9520
137,9522
138,9798
139,9800
140,10080
141,10082
142,10366
143,10368
144,10656
145,10658
146,10950
147,10952
148,11248
149,11250
150,11550
151,11552
152,11856
153,11858
154,12166
155,12168
156,12480
157,12482
158,12798
159,12800
160,13120
161,13122
162,13446
163,13448
164,13776
165,13778
166,14110
167,14112
168,14448
169,14450
170,14790
171,14792
172,15136
173,15138
174,15486
175,15488
176,15840
177,15842
178,16198
179,16200
180,16560
181,16562
182,16926
183,16928
184,17296
185,17298
186,17670
187,17672
188,18048
189,18050
190,18430
191,18432
192,18816
193,18818
194,19206
195,19208
196,19600
197,19602
198,19998
199,20000
200,20400
201,20402
202,20806
203,20808
204,21216
205,21218
206,21630
207,21632
208,22048
209,22050
210,22470
211,22472
212,22896
213,22898
214,23326
215,23328
216,23760
217,23762
218,24198
219,24200
220,24640
221,24642
222,25086
223,25088
224,25536
225,25538
226,25990
227,25992
228,26448
229,26450
230,26910
231,26912
232,27376
233,27378
234,27846
235,27848
236,28320
237,28322
238,28798
239,28800
240,29280
241,29282
242,29766
243,29768
244,30256
245,30258
246,30750
247,30752
248,31248
249,31250
250,31750
251,31752
252,32256
253,32258
254,32766
255,32768
256,33280
257,33282
258,33798
259,33800
260,34320
261,34322
262,34846
263,34848
264,35376
265,35378
266,35910
267,35912
268,36448
269,36450
270,36990
271,36992
272,37536
273,37538
274,38086
275,38088
276,38640
277,38642
278,39198
279,39200
280,39760
281,39762
282,40326
283,40328
284,40896
285,40898
286,41470
287,41472
288,42048
289,42050
290,42630
291,42632
292,43216
293,43218
294,43806
295,43808
296,44400
297,44402
298,44998
299,45000
300,45600
301,45602
302,46206
303,46208
304,46816
305,46818
306,47430
307,47432
308,48048
309,48050
310,48670
311,48672
312,49296
313,49298
314,49926
315,49928
316,50560
317,50562
318,51198
319,51200
320,51840
321,51842
322,52486
323,52488
324,53136
325,53138
326,53790
327,53792
328,54448
329,54450
330,55110
331,55112
332,55776
333,55778
334,56446
335,56448
336,57120
337,57122
338,57798
339,57800
340,58480
341,58482
342,59166
343,59168
344,59856
345,59858
346,60550
347,60552
348,61248
349,61250
350,61950
351,61952
352,62656
353,62658
354,63366
355,63368
356,64080
357,64082
358,64798
359,64800
360,65520
361,65522
362,66246
363,66248
364,66976
365,66978
366,67710
367,67712
368,68448
369,68450
370,69190
371,69192
372,69936
373,69938
374,70686
375,70688
376,71440
377,71442
378,72198
379,72200
380,72960
381,72962
382,73726
383,73728
384,74496
385,74498
386,75270
387,75272
388,76048
389,76050
390,76830
391,76832
392,77616
393,77618
394,78406
395,78408
396,79200
397,79202
398,79998
399,80000
400,80800
401,80802
402,81606
403,81608
404,82416
405,82418
406,83230
407,83232
408,84048
409,84050
410,84870
411,84872
412,85696
413,85698
414,86526
415,86528
416,87360
417,87362
418,88198
419,88200
420,89040
421,89042
422,89886
423,89888
424,90736
425,90738
426,91590
427,91592
428,92448
429,92450
430,93310
431,93312
432,94176
433,94178
434,95046
435,95048
436,95920
437,95922
438,96798
439,96800
440,97680
441,97682
442,98566
443,98568
444,99456
445,99458
446,100350
447,100352
448,101248
449,101250
450,102150
451,102152
452,103056
453,103058
454,103966
455,103968
456,104880
457,104882
458,105798
459,105800
460,106720
461,106722
462,107646
463,107648
464,108576
465,108578
466,109510
467,109512
468,110448
469,110450
470,111390
471,111392
472,112336
473,112338
474,113286
475,113288
476,114240
477,114242
478,115198
479,115200
480,116160
481,116162
482,117126
483,117128
484,118096
485,118098
486,119070
487,119072
488,120048
489,120050
490,121030
491,121032
492,122016
493,122018
494,123006
495,123008
496,124000
497,124002
498,124998
499,125000
