# Result of running $M_\text{paren}$ \\ on the words $(``(" ``)")^{\lfloor n/2 \rfloor}$ (prepended by $``("$ if $n$ is odd) for all $n$ \\ for 1 trial
n,num_steps
0,0
1,0
2,6
3,6
4,12
5,12
6,18
7,18
8,24
9,24
10,30
11,30
12,36
13,36
14,42
15,42
16,48
17,48
18,54
19,54
20,60
21,60
22,66
23,66
24,72
25,72
26,78
27,78
28,84
29,84
30,90
31,90
32,96
33,96
34,102
35,102
36,108
37,108
38,114
39,114
40,120
41,120
42,126
43,126
44,132
45,132
46,138
47,138
48,144
49,144
50,150
51,150
52,156
53,156
54,162
55,162
56,168
57,168
58,174
59,174
60,180
61,180
62,186
63,186
64,192
65,192
66,198
67,198
68,204
69,204
70,210
71,210
72,216
73,216
74,222
75,222
76,228
77,228
78,234
79,234
80,240
81,240
82,246
83,246
84,252
85,252
86,258
87,258
88,264
89,264
90,270
91,270
92,276
93,276
94,282
95,282
96,288
97,288
98,294
99,294
100,300
101,300
102,306
103,306
104,312
105,312
106,318
107,318
108,324
109,324
110,330
111,330
112,336
113,336
114,342
115,342
116,348
117,348
118,354
119,354
120,360
121,360
122,366
123,366
124,372
125,372
126,378
127,378
128,384
129,384
130,390
131,390
132,396
133,396
134,402
135,402
136,408
137,408
138,414
139,414
140,420
141,420
142,426
143,426
144,432
145,432
146,438
147,438
148,444
149,444
150,450
151,450
152,456
153,456
154,462
155,462
156,468
157,468
158,474
159,474
160,480
161,480
162,486
163,486
164,492
165,492
166,498
167,498
168,504
169,504
170,510
171,510
172,516
173,516
174,522
175,522
176,528
177,528
178,534
179,534
180,540
181,540
182,546
183,546
184,552
185,552
186,558
187,558
188,564
189,564
190,570
191,570
192,576
193,576
194,582
195,582
196,588
197,588
198,594
199,594
200,600
201,600
202,606
203,606
204,612
205,612
206,618
207,618
208,624
209,624
210,630
211,630
212,636
213,636
214,642
215,642
216,648
217,648
218,654
219,654
220,660
221,660
222,666
223,666
224,672
225,672
226,678
227,678
228,684
229,684
230,690
231,690
232,696
233,696
234,702
235,702
236,708
237,708
238,714
239,714
240,720
241,720
242,726
243,726
244,732
245,732
246,738
247,738
248,744
249,744
250,750
251,750
252,756
253,756
254,762
255,762
256,768
257,768
258,774
259,774
260,780
261,780
262,786
263,786
264,792
265,792
266,798
267,798
268,804
269,804
270,810
271,810
272,816
273,816
274,822
275,822
276,828
277,828
278,834
279,834
280,840
281,840
282,846
283,846
284,852
285,852
286,858
287,858
288,864
289,864
290,870
291,870
292,876
293,876
294,882
295,882
296,888
297,888
298,894
299,894
300,900
301,900
302,906
303,906
304,912
305,912
306,918
307,918
308,924
309,924
310,930
311,930
312,936
313,936
314,942
315,942
316,948
317,948
318,954
319,954
320,960
321,960
322,966
323,966
324,972
325,972
326,978
327,978
328,984
329,984
330,990
331,990
332,996
333,996
334,1002
335,1002
336,1008
337,1008
338,1014
339,1014
340,1020
341,1020
342,1026
343,1026
344,1032
345,1032
346,1038
347,1038
348,1044
349,1044
350,1050
351,1050
352,1056
353,1056
354,1062
355,1062
356,1068
357,1068
358,1074
359,1074
360,1080
361,1080
362,1086
363,1086
364,1092
365,1092
366,1098
367,1098
368,1104
369,1104
370,1110
371,1110
372,1116
373,1116
374,1122
375,1122
376,1128
377,1128
378,1134
379,1134
380,1140
381,1140
382,1146
383,1146
384,1152
385,1152
386,1158
387,1158
388,1164
389,1164
390,1170
391,1170
392,1176
393,1176
394,1182
395,1182
396,1188
397,1188
398,1194
399,1194
400,1200
401,1200
402,1206
403,1206
404,1212
405,1212
406,1218
407,1218
408,1224
409,1224
410,1230
411,1230
412,1236
413,1236
414,1242
415,1242
416,1248
417,1248
418,1254
419,1254
420,1260
421,1260
422,1266
423,1266
424,1272
425,1272
426,1278
427,1278
428,1284
429,1284
430,1290
431,1290
432,1296
433,1296
434,1302
435,1302
436,1308
437,1308
438,1314
439,1314
440,1320
441,1320
442,1326
443,1326
444,1332
445,1332
446,1338
447,1338
448,1344
449,1344
450,1350
451,1350
452,1356
453,1356
454,1362
455,1362
456,1368
457,1368
458,1374
459,1374
460,1380
461,1380
462,1386
463,1386
464,1392
465,1392
466,1398
467,1398
468,1404
469,1404
470,1410
471,1410
472,1416
473,1416
474,1422
475,1422
476,1428
477,1428
478,1434
479,1434
480,1440
481,1440
482,1446
483,1446
484,1452
485,1452
486,1458
487,1458
488,1464
489,1464
490,1470
491,1470
492,1476
493,1476
494,1482
495,1482
496,1488
497,1488
498,1494
499,1494
