# Result of running $M_\text{subword}$ \\ on random words from $L(\{0+1\}^* \# \{0+1\}^*)$ of length $n$ that are accepted \\ for 10 trials
n,num_steps
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,0
2,2
2,0
2,0
2,2
2,0
2,0
2,0
2,0
3,6
3,6
3,6
3,7
3,7
3,6
3,7
3,7
3,6
3,6
4,13
4,10
4,13
4,13
4,13
4,1
4,1
4,13
4,14
4,14
5,17
5,17
5,14
5,13
5,17
5,14
5,13
5,13
5,14
5,13
6,2
6,31
6,2
6,2
6,22
6,31
6,2
6,2
6,22
6,33
7,33
7,22
7,23
7,22
7,31
7,46
7,23
7,22
7,30
7,23
8,3
8,3
8,3
8,67
8,3
8,42
8,3
8,3
8,47
8,38
9,80
9,54
9,41
9,79
9,42
9,45
9,66
9,81
9,33
9,54
10,4
10,60
10,4
10,102
10,4
10,4
10,72
10,4
10,4
10,4
11,65
11,55
11,104
11,71
11,110
11,56
11,88
11,67
11,84
11,107
12,147
12,89
12,5
12,103
12,62
12,5
12,123
12,5
12,86
12,5
13,116
13,77
13,75
13,196
13,135
13,62
13,105
13,93
13,199
13,83
14,176
14,6
14,125
14,6
14,6
14,6
14,174
14,6
14,6
14,6
15,134
15,222
15,99
15,203
15,96
15,120
15,157
15,100
15,146
15,124
16,164
16,202
16,7
16,139
16,190
16,7
16,182
16,7
16,7
16,207
17,205
17,159
17,121
17,171
17,164
17,194
17,236
17,173
17,219
17,190
18,171
18,220
18,8
18,8
18,176
18,200
18,327
18,8
18,8
18,206
19,134
19,225
19,259
19,347
19,322
19,166
19,197
19,346
19,236
19,316
20,9
20,9
20,9
20,9
20,9
20,263
20,223
20,254
20,225
20,279
21,225
21,166
21,264
21,203
21,281
21,191
21,246
21,313
21,268
21,250
22,253
22,10
22,393
22,10
22,10
22,293
22,225
22,233
22,10
22,264
23,313
23,350
23,378
23,345
23,307
23,327
23,339
23,490
23,308
23,350
24,11
24,454
24,319
24,11
24,298
24,11
24,11
24,11
24,356
24,11
25,363
25,456
25,680
25,497
25,269
25,525
25,354
25,246
25,402
25,414
26,12
26,12
26,403
26,12
26,430
26,427
26,325
26,12
26,12
26,444
27,479
27,504
27,458
27,550
27,343
27,547
27,336
27,456
27,441
27,373
28,13
28,13
28,478
28,419
28,375
28,13
28,603
28,13
28,610
28,13
29,455
29,413
29,311
29,394
29,463
29,437
29,468
29,468
29,505
29,520
30,14
30,14
30,485
30,587
30,14
30,472
30,617
30,678
30,720
30,491
31,512
31,563
31,638
31,555
31,532
31,625
31,567
31,452
31,446
31,708
