# Result of running $M_\text{subword}$ \\ on random words from $L((0+1+\#)^*)$ of length $n$ \\ for 10 trials
n,num_steps
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,1
2,1
2,1
2,2
2,2
2,2
2,1
2,1
3,1
3,1
3,2
3,7
3,3
3,3
3,3
3,3
3,6
3,3
4,4
4,4
4,4
4,1
4,4
4,1
4,4
4,1
4,4
4,6
5,2
5,1
5,1
5,3
5,5
5,1
5,3
5,7
5,1
5,5
6,1
6,1
6,1
6,2
6,7
6,17
6,16
6,1
6,6
6,1
7,1
7,6
7,1
7,2
7,7
7,1
7,1
7,13
7,22
7,13
8,1
8,6
8,1
8,22
8,1
8,6
8,1
8,2
8,2
8,1
9,1
9,22
9,17
9,10
9,6
9,1
9,2
9,1
9,1
9,1
10,19
10,6
10,6
10,1
10,5
10,77
10,1
10,7
10,10
10,7
11,32
11,6
11,34
11,3
11,2
11,7
11,14
11,1
11,6
11,31
12,1
12,31
12,2
12,7
12,22
12,37
12,13
12,1
12,6
12,1
13,7
13,6
13,1
13,5
13,1
13,6
13,21
13,3
13,1
13,13
14,7
14,1
14,2
14,7
14,4
14,23
14,1
14,37
14,7
14,1
15,7
15,3
15,34
15,46
15,6
15,4
15,22
15,7
15,2
15,6
16,1
16,26
16,30
16,24
16,1
16,1
16,29
16,23
16,6
16,47
17,1
17,1
17,1
17,1
17,7
17,2
17,1
17,49
17,1
17,1
18,7
18,75
18,4
18,10
18,1
18,6
18,2
18,22
18,1
18,2
19,7
19,2
19,22
19,10
19,5
19,4
19,2
19,4
19,31
19,7
20,1
20,1
20,1
20,1
20,7
20,1
20,1
20,7
20,3
20,1
21,1
21,132
21,1
21,6
21,1
21,19
21,6
21,1
21,1
21,2
22,1
22,1
22,5
22,30
22,6
22,7
22,31
22,1
22,37
22,1
23,23
23,122
23,9
23,3
23,14
23,1
23,6
23,3
23,14
23,1
24,1
24,1
24,4
24,76
24,1
24,1
24,4
24,13
24,3
24,1
25,1
25,2
25,6
25,1
25,4
25,6
25,2
25,13
25,1
25,1
26,1
26,14
26,2
26,3
26,10
26,21
26,1
26,1
26,1
26,6
27,1
27,1
27,1
27,6
27,6
27,6
27,6
27,7
27,2
27,42
28,3
28,1
28,23
28,7
28,6
28,13
28,13
28,1
28,87
28,22
29,1
29,17
29,21
29,1
29,7
29,7
29,1
29,7
29,22
29,74
30,42
30,17
30,4
30,65
30,17
30,2
30,1
30,49
30,1
30,2
31,67
31,6
31,2
31,7
31,26
31,1
31,2
31,6
31,6
31,2
32,7
32,14
32,14
32,1
