# Result of running $M_\text{subword}$ \\ on words from $\{w\#w \mid w \in \{0,1\}^{ \lfloor n/2 \rfloor } \}$ \\ for 1 trial
n,num_steps
0,0
1,1
2,2
3,7
4,10
5,17
6,22
7,31
8,38
9,49
10,58
11,71
12,82
13,97
14,110
15,127
16,142
17,161
18,178
19,199
20,218
21,241
22,262
23,287
24,310
25,337
26,362
27,391
28,418
29,449
30,478
31,511
32,542
33,577
34,610
35,647
36,682
37,721
38,758
39,799
40,838
41,881
42,922
43,967
44,1010
45,1057
46,1102
47,1151
48,1198
49,1249
50,1298
51,1351
52,1402
53,1457
54,1510
55,1567
56,1622
57,1681
58,1738
59,1799
60,1858
61,1921
62,1982
63,2047
64,2110
65,2177
66,2242
67,2311
68,2378
69,2449
70,2518
71,2591
72,2662
73,2737
74,2810
75,2887
76,2962
77,3041
78,3118
79,3199
80,3278
81,3361
82,3442
83,3527
84,3610
85,3697
86,3782
87,3871
88,3958
89,4049
90,4138
91,4231
92,4322
93,4417
94,4510
95,4607
96,4702
97,4801
98,4898
99,4999
100,5098
101,5201
102,5302
103,5407
104,5510
105,5617
106,5722
107,5831
108,5938
109,6049
110,6158
111,6271
112,6382
113,6497
114,6610
115,6727
116,6842
117,6961
118,7078
119,7199
120,7318
121,7441
122,7562
123,7687
124,7810
125,7937
126,8062
127,8191
128,8318
129,8449
130,8578
131,8711
132,8842
133,8977
134,9110
135,9247
136,9382
137,9521
138,9658
139,9799
140,9938
141,10081
142,10222
143,10367
144,10510
145,10657
146,10802
147,10951
148,11098
149,11249
150,11398
151,11551
152,11702
153,11857
154,12010
155,12167
156,12322
157,12481
158,12638
159,12799
160,12958
161,13121
162,13282
163,13447
164,13610
165,13777
166,13942
167,14111
168,14278
169,14449
170,14618
171,14791
172,14962
173,15137
174,15310
175,15487
176,15662
177,15841
178,16018
179,16199
180,16378
181,16561
182,16742
183,16927
184,17110
185,17297
186,17482
187,17671
188,17858
189,18049
190,18238
191,18431
192,18622
193,18817
194,19010
195,19207
196,19402
197,19601
198,19798
199,19999
200,20198
201,20401
202,20602
203,20807
204,21010
205,21217
206,21422
207,21631
208,21838
209,22049
210,22258
211,22471
212,22682
213,22897
214,23110
215,23327
216,23542
217,23761
218,23978
219,24199
220,24418
221,24641
222,24862
223,25087
224,25310
225,25537
226,25762
227,25991
228,26218
229,26449
230,26678
231,26911
232,27142
233,27377
234,27610
235,27847
236,28082
237,28321
238,28558
239,28799
240,29038
241,29281
242,29522
243,29767
244,30010
245,30257
246,30502
247,30751
248,30998
249,31249
250,31498
251,31751
252,32002
253,32257
254,32510
255,32767
256,33022
257,33281
258,33538
259,33799
260,34058
261,34321
262,34582
263,34847
264,35110
265,35377
266,35642
267,35911
268,36178
269,36449
270,36718
271,36991
272,37262
273,37537
274,37810
275,38087
276,38362
277,38641
278,38918
279,39199
280,39478
281,39761
282,40042
283,40327
284,40610
285,40897
286,41182
287,41471
288,41758
289,42049
290,42338
291,42631
292,42922
293,43217
294,43510
295,43807
296,44102
297,44401
298,44698
299,44999
300,45298
301,45601
302,45902
303,46207
304,46510
305,46817
306,47122
307,47431
308,47738
309,48049
310,48358
311,48671
312,48982
313,49297
314,49610
315,49927
316,50242
317,50561
318,50878
319,51199
320,51518
321,51841
322,52162
323,52487
324,52810
325,53137
326,53462
327,53791
328,54118
329,54449
330,54778
331,55111
332,55442
333,55777
334,56110
335,56447
336,56782
337,57121
338,57458
339,57799
340,58138
341,58481
342,58822
343,59167
344,59510
345,59857
346,60202
347,60551
348,60898
349,61249
350,61598
351,61951
352,62302
353,62657
354,63010
355,63367
356,63722
357,64081
358,64438
359,64799
360,65158
361,65521
362,65882
363,66247
364,66610
365,66977
366,67342
367,67711
368,68078
369,68449
370,68818
371,69191
372,69562
373,69937
374,70310
375,70687
376,71062
377,71441
378,71818
379,72199
380,72578
381,72961
382,73342
383,73727
384,74110
385,74497
386,74882
387,75271
388,75658
389,76049
390,76438
391,76831
392,77222
393,77617
394,78010
395,78407
396,78802
397,79201
398,79598
399,79999
400,80398
401,80801
402,81202
403,81607
404,82010
405,82417
406,82822
407,83231
408,83638
409,84049
410,84458
411,84871
412,85282
413,85697
414,86110
415,86527
416,86942
417,87361
418,87778
419,88199
420,88618
421,89041
422,89462
423,89887
424,90310
425,90737
426,91162
427,91591
428,92018
429,92449
430,92878
431,93311
432,93742
433,94177
434,94610
435,95047
436,95482
437,95921
438,96358
439,96799
440,97238
441,97681
442,98122
443,98567
444,99010
445,99457
446,99902
447,100351
448,100798
449,101249
450,101698
451,102151
452,102602
453,103057
454,103510
455,103967
456,104422
457,104881
458,105338
459,105799
460,106258
461,106721
462,107182
463,107647
464,108110
465,108577
466,109042
467,109511
468,109978
469,110449
470,110918
471,111391
472,111862
473,112337
474,112810
475,113287
476,113762
477,114241
478,114718
479,115199
480,115678
481,116161
482,116642
483,117127
484,117610
485,118097
486,118582
487,119071
488,119558
489,120049
490,120538
491,121031
492,121522
493,122017
494,122510
495,123007
496,123502
497,124001
498,124498
499,124999
