# Result of running $M_\text{subword}$ \\ on words from $L(1^* \# 1 0)$ of length $n$ \\ for 1 trial
n,num_steps
0,0
1,1
2,1
3,1
4,7
5,22
6,41
7,64
8,91
9,122
10,157
11,196
12,239
13,286
14,337
15,392
16,451
17,514
18,581
19,652
20,727
21,806
22,889
23,976
24,1067
25,1162
26,1261
27,1364
28,1471
29,1582
30,1697
31,1816
32,1939
33,2066
34,2197
35,2332
36,2471
37,2614
38,2761
39,2912
40,3067
41,3226
42,3389
43,3556
44,3727
45,3902
46,4081
47,4264
48,4451
49,4642
50,4837
51,5036
52,5239
53,5446
54,5657
55,5872
56,6091
57,6314
58,6541
59,6772
60,7007
61,7246
62,7489
63,7736
64,7987
65,8242
66,8501
67,8764
68,9031
69,9302
70,9577
71,9856
72,10139
73,10426
74,10717
75,11012
76,11311
77,11614
78,11921
79,12232
80,12547
81,12866
82,13189
83,13516
84,13847
85,14182
86,14521
87,14864
88,15211
89,15562
90,15917
91,16276
92,16639
93,17006
94,17377
95,17752
96,18131
97,18514
98,18901
99,19292
100,19687
101,20086
102,20489
103,20896
104,21307
105,21722
106,22141
107,22564
108,22991
109,23422
110,23857
111,24296
112,24739
113,25186
114,25637
115,26092
116,26551
117,27014
118,27481
119,27952
120,28427
121,28906
122,29389
123,29876
124,30367
125,30862
126,31361
127,31864
128,32371
129,32882
130,33397
131,33916
132,34439
133,34966
134,35497
135,36032
136,36571
137,37114
138,37661
139,38212
140,38767
141,39326
142,39889
143,40456
144,41027
145,41602
146,42181
147,42764
148,43351
149,43942
150,44537
151,45136
152,45739
153,46346
154,46957
155,47572
156,48191
157,48814
158,49441
159,50072
160,50707
161,51346
162,51989
163,52636
164,53287
165,53942
166,54601
167,55264
168,55931
169,56602
170,57277
171,57956
172,58639
173,59326
174,60017
175,60712
176,61411
177,62114
178,62821
179,63532
180,64247
181,64966
182,65689
183,66416
184,67147
185,67882
186,68621
187,69364
188,70111
189,70862
190,71617
191,72376
192,73139
193,73906
194,74677
195,75452
196,76231
197,77014
198,77801
199,78592
200,79387
201,80186
202,80989
203,81796
204,82607
205,83422
206,84241
207,85064
208,85891
209,86722
210,87557
211,88396
212,89239
213,90086
214,90937
215,91792
216,92651
217,93514
218,94381
219,95252
220,96127
221,97006
222,97889
223,98776
224,99667
225,100562
226,101461
227,102364
228,103271
229,104182
230,105097
231,106016
232,106939
233,107866
234,108797
235,109732
236,110671
237,111614
238,112561
239,113512
240,114467
241,115426
242,116389
243,117356
244,118327
245,119302
246,120281
247,121264
248,122251
249,123242
250,124237
251,125236
252,126239
253,127246
254,128257
255,129272
256,130291
257,131314
258,132341
259,133372
260,134407
261,135446
262,136489
263,137536
264,138587
265,139642
266,140701
267,141764
268,142831
269,143902
270,144977
271,146056
272,147139
273,148226
274,149317
275,150412
276,151511
277,152614
278,153721
279,154832
280,155947
281,157066
282,158189
283,159316
284,160447
285,161582
286,162721
287,163864
288,165011
289,166162
290,167317
291,168476
292,169639
293,170806
294,171977
295,173152
296,174331
297,175514
298,176701
299,177892
300,179087
301,180286
302,181489
303,182696
304,183907
305,185122
306,186341
307,187564
308,188791
309,190022
310,191257
311,192496
312,193739
313,194986
314,196237
315,197492
316,198751
317,200014
318,201281
319,202552
320,203827
321,205106
322,206389
323,207676
324,208967
325,210262
326,211561
327,212864
328,214171
329,215482
330,216797
331,218116
332,219439
333,220766
334,222097
335,223432
336,224771
337,226114
338,227461
339,228812
340,230167
341,231526
342,232889
343,234256
344,235627
345,237002
346,238381
347,239764
348,241151
349,242542
350,243937
351,245336
352,246739
353,248146
354,249557
355,250972
356,252391
357,253814
358,255241
359,256672
360,258107
361,259546
362,260989
363,262436
364,263887
365,265342
366,266801
367,268264
368,269731
369,271202
370,272677
371,274156
372,275639
373,277126
374,278617
375,280112
376,281611
377,283114
378,284621
379,286132
380,287647
381,289166
382,290689
383,292216
384,293747
385,295282
386,296821
387,298364
388,299911
389,301462
390,303017
391,304576
392,306139
393,307706
394,309277
395,310852
396,312431
397,314014
398,315601
399,317192
400,318787
401,320386
402,321989
403,323596
404,325207
405,326822
406,328441
407,330064
408,331691
409,333322
410,334957
411,336596
412,338239
413,339886
414,341537
415,343192
416,344851
417,346514
418,348181
419,349852
420,351527
421,353206
422,354889
423,356576
424,358267
425,359962
426,361661
427,363364
428,365071
429,366782
430,368497
431,370216
432,371939
433,373666
434,375397
435,377132
436,378871
437,380614
438,382361
439,384112
440,385867
441,387626
442,389389
443,391156
444,392927
445,394702
446,396481
447,398264
448,400051
449,401842
450,403637
451,405436
452,407239
453,409046
454,410857
455,412672
456,414491
457,416314
458,418141
459,419972
460,421807
461,423646
462,425489
463,427336
464,429187
465,431042
466,432901
467,434764
468,436631
469,438502
470,440377
471,442256
472,444139
473,446026
474,447917
475,449812
476,451711
477,453614
478,455521
479,457432
480,459347
481,461266
482,463189
483,465116
484,467047
485,468982
486,470921
487,472864
488,474811
489,476762
490,478717
491,480676
492,482639
493,484606
494,486577
495,488552
496,490531
497,492514
498,494501
499,496492
