# Result of running $M_\text{subword\_fast}$ \\ on random words from $L(\{0+1\}^* \# \{0+1\}^*)$ of length $n$ that are accepted \\ for 10 trials
n,num_steps
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,0
2,2
2,0
2,0
2,2
2,2
2,0
2,0
2,2
2,0
3,7
3,3
3,3
3,7
3,7
3,3
3,7
3,7
3,7
3,3
4,10
4,4
4,1
4,1
4,10
4,1
4,1
4,1
4,10
4,1
5,10
5,13
5,13
5,13
5,10
5,10
5,22
5,22
5,13
5,13
6,16
6,2
6,16
6,16
6,16
6,13
6,13
6,2
6,2
6,13
7,13
7,21
7,13
7,23
7,37
7,27
7,21
7,23
7,35
7,13
8,42
8,3
8,3
8,3
8,3
8,3
8,16
8,38
8,3
8,3
9,38
9,26
9,30
9,42
9,36
9,16
9,40
9,42
9,26
9,28
10,4
10,59
10,38
10,38
10,4
10,4
10,4
10,33
10,4
10,4
11,53
11,37
11,49
11,49
11,85
11,19
11,99
11,59
11,67
11,65
12,5
12,44
12,74
12,58
12,5
12,5
12,46
12,70
12,56
12,94
13,56
13,106
13,44
13,68
13,106
13,52
13,70
13,54
13,34
13,22
14,105
14,103
14,6
14,6
14,6
14,6
14,6
14,131
14,97
14,6
15,139
15,59
15,111
15,51
15,67
15,107
15,107
15,91
15,59
15,73
16,7
16,7
16,82
16,7
16,7
16,7
16,116
16,7
16,94
16,70
17,120
17,102
17,136
17,70
17,104
17,78
17,160
17,112
17,106
17,112
18,8
18,8
18,99
18,8
18,61
18,89
18,8
18,99
18,8
18,47
19,109
19,191
19,77
19,165
19,155
19,121
19,145
19,117
19,87
19,95
20,100
20,9
20,176
20,116
20,9
20,9
20,9
20,116
20,9
20,150
21,118
21,172
21,104
21,162
21,218
21,100
21,144
21,180
21,174
21,130
22,151
22,201
22,173
22,10
22,10
22,87
22,307
22,191
22,10
22,10
23,209
23,193
23,277
23,167
23,185
23,103
23,273
23,135
23,245
23,157
24,212
24,224
24,166
24,11
24,186
24,90
24,11
24,212
24,11
24,122
25,74
25,180
25,184
25,224
25,270
25,156
25,174
25,160
25,204
25,210
26,12
26,271
26,12
26,12
26,12
26,309
26,211
26,12
26,237
26,12
27,157
27,281
27,267
27,283
27,283
27,249
27,323
27,253
27,301
27,249
28,200
28,13
28,13
28,13
28,246
28,13
28,13
28,13
28,208
28,13
29,258
29,224
29,208
29,202
29,380
29,252
29,356
29,228
29,202
29,360
30,127
30,14
30,157
30,327
30,14
30,281
30,253
30,245
30,791
30,307
31,515
31,289
31,435
31,411
31,193
31,217
31,347
31,357
31,435
