# Result of running $M_\text{subword\_fast}$ \\ on random words from $L((0+1+\#)^*)$ of length $n$ \\ for 10 trials
n,num_steps
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,2
3,3
3,1
3,3
3,1
3,1
3,3
3,2
3,3
3,2
4,1
4,1
4,4
4,7
4,1
4,10
4,1
4,7
4,3
4,1
5,4
5,5
5,7
5,1
5,15
5,5
5,1
5,1
5,2
5,13
6,1
6,1
6,7
6,7
6,2
6,7
6,1
6,7
6,1
6,37
7,3
7,2
7,7
7,1
7,10
7,10
7,3
7,13
7,1
7,7
8,1
8,1
8,8
8,3
8,2
8,5
8,1
8,6
8,3
8,8
9,4
9,1
9,3
9,3
9,1
9,16
9,2
9,4
9,9
9,1
10,1
10,27
10,1
10,22
10,3
10,3
10,1
10,1
10,13
10,7
11,3
11,1
11,11
11,1
11,7
11,13
11,1
11,16
11,4
11,7
12,7
12,1
12,59
12,1
12,1
12,1
12,12
12,1
12,5
12,7
13,4
13,1
13,5
13,7
13,18
13,33
13,35
13,13
13,21
13,7
14,7
14,19
14,1
14,50
14,1
14,10
14,7
14,5
14,5
14,7
15,13
15,13
15,7
15,3
15,1
15,1
15,6
15,24
15,2
15,57
16,1
16,3
16,1
16,1
16,13
16,3
16,7
16,1
16,1
16,4
17,2
17,2
17,1
17,3
17,1
17,7
17,1
17,1
17,1
17,7
18,4
18,1
18,8
18,7
18,2
18,3
18,5
18,7
18,1
18,1
19,5
19,1
19,38
19,61
19,2
19,23
19,1
19,1
19,1
19,1
20,1
20,13
20,1
20,7
20,1
20,2
20,4
20,1
20,16
20,19
21,7
21,1
21,8
21,1
21,10
21,7
21,5
21,1
21,10
21,1
22,36
22,19
22,1
22,7
22,21
22,1
22,6
22,3
22,1
22,5
23,1
23,7
23,26
23,1
23,7
23,1
23,4
23,7
23,4
23,49
24,1
24,4
24,3
24,28
24,1
24,1
24,1
24,3
24,7
24,1
25,1
25,1
25,6
25,2
25,28
25,6
25,18
25,1
25,2
25,2
26,5
26,21
26,69
26,27
26,6
26,138
26,1
26,1
26,5
26,1
27,3
27,2
27,7
27,47
27,7
27,2
27,8
27,92
27,1
27,7
28,1
28,45
28,48
28,1
28,5
28,7
28,1
28,7
28,2
28,7
29,7
29,1
29,46
29,7
29,1
29,25
29,10
29,6
29,1
29,1
30,1
30,1
30,1
30,1
30,3
30,1
30,7
30,7
30,9
30,4
31,3
31,3
31,191
31,7
31,27
31,1
31,1
31,10
31,1
31,1
32,7
32,7
32,1
