# Result of running $M_\text{subword\_fast}$ \\ on words from $\{w\#w \mid w \in \{0,1\}^{ \lfloor n/2 \rfloor } \}$ \\ for 1 trial
n,num_steps
0,0
1,1
2,2
3,3
4,4
5,13
6,16
7,17
8,20
9,33
10,38
11,39
12,44
13,61
14,68
15,69
16,76
17,97
18,106
19,107
20,116
21,141
22,152
23,153
24,164
25,193
26,206
27,207
28,220
29,253
30,268
31,269
32,284
33,321
34,338
35,339
36,356
37,397
38,416
39,417
40,436
41,481
42,502
43,503
44,524
45,573
46,596
47,597
48,620
49,673
50,698
51,699
52,724
53,781
54,808
55,809
56,836
57,897
58,926
59,927
60,956
61,1021
62,1052
63,1053
64,1084
65,1153
66,1186
67,1187
68,1220
69,1293
70,1328
71,1329
72,1364
73,1441
74,1478
75,1479
76,1516
77,1597
78,1636
79,1637
80,1676
81,1761
82,1802
83,1803
84,1844
85,1933
86,1976
87,1977
88,2020
89,2113
90,2158
91,2159
92,2204
93,2301
94,2348
95,2349
96,2396
97,2497
98,2546
99,2547
100,2596
101,2701
102,2752
103,2753
104,2804
105,2913
106,2966
107,2967
108,3020
109,3133
110,3188
111,3189
112,3244
113,3361
114,3418
115,3419
116,3476
117,3597
118,3656
119,3657
120,3716
121,3841
122,3902
123,3903
124,3964
125,4093
126,4156
127,4157
128,4220
129,4353
130,4418
131,4419
132,4484
133,4621
134,4688
135,4689
136,4756
137,4897
138,4966
139,4967
140,5036
141,5181
142,5252
143,5253
144,5324
145,5473
146,5546
147,5547
148,5620
149,5773
150,5848
151,5849
152,5924
153,6081
154,6158
155,6159
156,6236
157,6397
158,6476
159,6477
160,6556
161,6721
162,6802
163,6803
164,6884
165,7053
166,7136
167,7137
168,7220
169,7393
170,7478
171,7479
172,7564
173,7741
174,7828
175,7829
176,7916
177,8097
178,8186
179,8187
180,8276
181,8461
182,8552
183,8553
184,8644
185,8833
186,8926
187,8927
188,9020
189,9213
190,9308
191,9309
192,9404
193,9601
194,9698
195,9699
196,9796
197,9997
198,10096
199,10097
200,10196
201,10401
202,10502
203,10503
204,10604
205,10813
206,10916
207,10917
208,11020
209,11233
210,11338
211,11339
212,11444
213,11661
214,11768
215,11769
216,11876
217,12097
218,12206
219,12207
220,12316
221,12541
222,12652
223,12653
224,12764
225,12993
226,13106
227,13107
228,13220
229,13453
230,13568
231,13569
232,13684
233,13921
234,14038
235,14039
236,14156
237,14397
238,14516
239,14517
240,14636
241,14881
242,15002
243,15003
244,15124
245,15373
246,15496
247,15497
248,15620
249,15873
250,15998
251,15999
252,16124
253,16381
254,16508
255,16509
256,16636
257,16897
258,17026
259,17027
260,17156
261,17421
262,17552
263,17553
264,17684
265,17953
266,18086
267,18087
268,18220
269,18493
270,18628
271,18629
272,18764
273,19041
274,19178
275,19179
276,19316
277,19597
278,19736
279,19737
280,19876
281,20161
282,20302
283,20303
284,20444
285,20733
286,20876
287,20877
288,21020
289,21313
290,21458
291,21459
292,21604
293,21901
294,22048
295,22049
296,22196
297,22497
298,22646
299,22647
300,22796
301,23101
302,23252
303,23253
304,23404
305,23713
306,23866
307,23867
308,24020
309,24333
310,24488
311,24489
312,24644
313,24961
314,25118
315,25119
316,25276
317,25597
318,25756
319,25757
320,25916
321,26241
322,26402
323,26403
324,26564
325,26893
326,27056
327,27057
328,27220
329,27553
330,27718
331,27719
332,27884
333,28221
334,28388
335,28389
336,28556
337,28897
338,29066
339,29067
340,29236
341,29581
342,29752
343,29753
344,29924
345,30273
346,30446
347,30447
348,30620
349,30973
350,31148
351,31149
352,31324
353,31681
354,31858
355,31859
356,32036
357,32397
358,32576
359,32577
360,32756
361,33121
362,33302
363,33303
364,33484
365,33853
366,34036
367,34037
368,34220
369,34593
370,34778
371,34779
372,34964
373,35341
374,35528
375,35529
376,35716
377,36097
378,36286
379,36287
380,36476
381,36861
382,37052
383,37053
384,37244
385,37633
386,37826
387,37827
388,38020
389,38413
390,38608
391,38609
392,38804
393,39201
394,39398
395,39399
396,39596
397,39997
398,40196
399,40197
400,40396
401,40801
402,41002
403,41003
404,41204
405,41613
406,41816
407,41817
408,42020
409,42433
410,42638
411,42639
412,42844
413,43261
414,43468
415,43469
416,43676
417,44097
418,44306
419,44307
420,44516
421,44941
422,45152
423,45153
424,45364
425,45793
426,46006
427,46007
428,46220
429,46653
430,46868
431,46869
432,47084
433,47521
434,47738
435,47739
436,47956
437,48397
438,48616
439,48617
440,48836
441,49281
442,49502
443,49503
444,49724
445,50173
446,50396
447,50397
448,50620
449,51073
450,51298
451,51299
452,51524
453,51981
454,52208
455,52209
456,52436
457,52897
458,53126
459,53127
460,53356
461,53821
462,54052
463,54053
464,54284
465,54753
466,54986
467,54987
468,55220
469,55693
470,55928
471,55929
472,56164
473,56641
474,56878
475,56879
476,57116
477,57597
478,57836
479,57837
480,58076
481,58561
482,58802
483,58803
484,59044
485,59533
486,59776
487,59777
488,60020
489,60513
490,60758
491,60759
492,61004
493,61501
494,61748
495,61749
496,61996
497,62497
498,62746
499,62747
