# Result of running $M_\text{subword\_fast}$ \\ on words from $L(1^* \# 1 0)$ of length $n$ \\ for 1 trial
n,num_steps
0,0
1,1
2,1
3,1
4,7
5,22
6,37
7,54
8,73
9,94
10,117
11,142
12,169
13,198
14,229
15,262
16,297
17,334
18,373
19,414
20,457
21,502
22,549
23,598
24,649
25,702
26,757
27,814
28,873
29,934
30,997
31,1062
32,1129
33,1198
34,1269
35,1342
36,1417
37,1494
38,1573
39,1654
40,1737
41,1822
42,1909
43,1998
44,2089
45,2182
46,2277
47,2374
48,2473
49,2574
50,2677
51,2782
52,2889
53,2998
54,3109
55,3222
56,3337
57,3454
58,3573
59,3694
60,3817
61,3942
62,4069
63,4198
64,4329
65,4462
66,4597
67,4734
68,4873
69,5014
70,5157
71,5302
72,5449
73,5598
74,5749
75,5902
76,6057
77,6214
78,6373
79,6534
80,6697
81,6862
82,7029
83,7198
84,7369
85,7542
86,7717
87,7894
88,8073
89,8254
90,8437
91,8622
92,8809
93,8998
94,9189
95,9382
96,9577
97,9774
98,9973
99,10174
100,10377
101,10582
102,10789
103,10998
104,11209
105,11422
106,11637
107,11854
108,12073
109,12294
110,12517
111,12742
112,12969
113,13198
114,13429
115,13662
116,13897
117,14134
118,14373
119,14614
120,14857
121,15102
122,15349
123,15598
124,15849
125,16102
126,16357
127,16614
128,16873
129,17134
130,17397
131,17662
132,17929
133,18198
134,18469
135,18742
136,19017
137,19294
138,19573
139,19854
140,20137
141,20422
142,20709
143,20998
144,21289
145,21582
146,21877
147,22174
148,22473
149,22774
150,23077
151,23382
152,23689
153,23998
154,24309
155,24622
156,24937
157,25254
158,25573
159,25894
160,26217
161,26542
162,26869
163,27198
164,27529
165,27862
166,28197
167,28534
168,28873
169,29214
170,29557
171,29902
172,30249
173,30598
174,30949
175,31302
176,31657
177,32014
178,32373
179,32734
180,33097
181,33462
182,33829
183,34198
184,34569
185,34942
186,35317
187,35694
188,36073
189,36454
190,36837
191,37222
192,37609
193,37998
194,38389
195,38782
196,39177
197,39574
198,39973
199,40374
200,40777
201,41182
202,41589
203,41998
204,42409
205,42822
206,43237
207,43654
208,44073
209,44494
210,44917
211,45342
212,45769
213,46198
214,46629
215,47062
216,47497
217,47934
218,48373
219,48814
220,49257
221,49702
222,50149
223,50598
224,51049
225,51502
226,51957
227,52414
228,52873
229,53334
230,53797
231,54262
232,54729
233,55198
234,55669
235,56142
236,56617
237,57094
238,57573
239,58054
240,58537
241,59022
242,59509
243,59998
244,60489
245,60982
246,61477
247,61974
248,62473
249,62974
250,63477
251,63982
252,64489
253,64998
254,65509
255,66022
256,66537
257,67054
258,67573
259,68094
260,68617
261,69142
262,69669
263,70198
264,70729
265,71262
266,71797
267,72334
268,72873
269,73414
270,73957
271,74502
272,75049
273,75598
274,76149
275,76702
276,77257
277,77814
278,78373
279,78934
280,79497
281,80062
282,80629
283,81198
284,81769
285,82342
286,82917
287,83494
288,84073
289,84654
290,85237
291,85822
292,86409
293,86998
294,87589
295,88182
296,88777
297,89374
298,89973
299,90574
300,91177
301,91782
302,92389
303,92998
304,93609
305,94222
306,94837
307,95454
308,96073
309,96694
310,97317
311,97942
312,98569
313,99198
314,99829
315,100462
316,101097
317,101734
318,102373
319,103014
320,103657
321,104302
322,104949
323,105598
324,106249
325,106902
326,107557
327,108214
328,108873
329,109534
330,110197
331,110862
332,111529
333,112198
334,112869
335,113542
336,114217
337,114894
338,115573
339,116254
340,116937
341,117622
342,118309
343,118998
344,119689
345,120382
346,121077
347,121774
348,122473
349,123174
350,123877
351,124582
352,125289
353,125998
354,126709
355,127422
356,128137
357,128854
358,129573
359,130294
360,131017
361,131742
362,132469
363,133198
364,133929
365,134662
366,135397
367,136134
368,136873
369,137614
370,138357
371,139102
372,139849
373,140598
374,141349
375,142102
376,142857
377,143614
378,144373
379,145134
380,145897
381,146662
382,147429
383,148198
384,148969
385,149742
386,150517
387,151294
388,152073
389,152854
390,153637
391,154422
392,155209
393,155998
394,156789
395,157582
396,158377
397,159174
398,159973
399,160774
400,161577
401,162382
402,163189
403,163998
404,164809
405,165622
406,166437
407,167254
408,168073
409,168894
410,169717
411,170542
412,171369
413,172198
414,173029
415,173862
416,174697
417,175534
418,176373
419,177214
420,178057
421,178902
422,179749
423,180598
424,181449
425,182302
426,183157
427,184014
428,184873
429,185734
430,186597
431,187462
432,188329
433,189198
434,190069
435,190942
436,191817
437,192694
438,193573
439,194454
440,195337
441,196222
442,197109
443,197998
444,198889
445,199782
446,200677
447,201574
448,202473
449,203374
450,204277
451,205182
452,206089
453,206998
454,207909
455,208822
456,209737
457,210654
458,211573
459,212494
460,213417
461,214342
462,215269
463,216198
464,217129
465,218062
466,218997
467,219934
468,220873
469,221814
470,222757
471,223702
472,224649
473,225598
474,226549
475,227502
476,228457
477,229414
478,230373
479,231334
480,232297
481,233262
482,234229
483,235198
484,236169
485,237142
486,238117
487,239094
488,240073
489,241054
490,242037
491,243022
492,244009
493,244998
494,245989
495,246982
496,247977
497,248974
498,249973
499,250974
